,cell_1,cell_2,tension,relative_adhesion,log_tension,log_adhesion
2144,cell_823,cell_832,127.62873250294228,5.035078050996921e-17,4.849125521917646,-37.52751755316083
2145,cell_823,cell_845,165.0144566587091,1.4450239982985373e-17,5.106033086175902,-38.775820651653234
2146,cell_823,cell_855,176.7615989341374,5.038371110899264e-18,5.1748019260133065,-39.82944883632932
2147,cell_824,cell_833,208.273192263922,1.0326828790336111e-16,5.338850642259853,-36.809201335185314
2148,cell_824,cell_849,211.08884980319544,3.5785328424004397e-17,5.352279133957596,-37.8689936850441
2149,cell_825,cell_840,256.078048790196,5.2922564401186804e-17,5.545482276100386,-37.47770187774781
2150,cell_825,cell_845,103.88906918451788,2.578996359457046e-17,4.643323687416909,-38.19654626561086
2151,cell_826,cell_844,369.988884059206,3.031893017324735e-17,5.91347296210374,-38.03475939826467
2152,cell_826,cell_853,525.7839041893632,6.420989633625751e-18,6.264890299787214,-39.58695941953078
2153,cell_827,cell_838,112.8003497324262,6.710971976641376e-17,4.725619439523923,-37.24020278546655
2154,cell_827,cell_844,141.05228564417996,2.8370806325447546e-17,4.949130641812849,-38.101171003711855
2155,cell_828,cell_841,89.97449677282248,6.802075314755136e-17,4.499526260982768,-37.22671882193239
2156,cell_828,cell_843,123.04250714575105,9.138499601701584e-17,4.812529882221961,-36.93145036627108
2157,cell_828,cell_861,67.3072639937932,5.511714041304711e-17,4.209268165355043,-37.43707092783205
2158,cell_829,cell_836,87.64724416085451,6.777281511660281e-17,4.473320169467984,-37.23037051633347
2159,cell_829,cell_838,146.0359982353914,2.974791473268494e-17,4.983853154572718,-38.05377263737681
2160,cell_829,cell_843,171.90535128017504,2.576771625579091e-17,5.146944042097259,-38.19740927341978
2161,cell_829,cell_850,144.54095831871365,5.48835785875465e-17,4.973562915960943,-37.44131748510208
2162,cell_830,cell_834,45.544099012768335,2.0769820501345993e-17,3.8186810656488843,-38.41303067824985
2163,cell_830,cell_837,63.50461973388592,3.8886029261897495e-17,4.151112654967108,-37.78589663271478
2164,cell_831,cell_837,137.8376195863956,2.4433362430138246e-17,4.926076322674123,-38.250582162803894
2165,cell_831,cell_839,250.98478995580737,2.534673777796066e-18,5.525392339510036,-40.516466732390526
2166,cell_831,cell_842,117.51431416041343,6.395807248272791e-17,4.766560148806255,-37.288303922673734
2167,cell_831,cell_848,325.4466076751234,4.4432406183387345e-18,5.785198416473899,-39.955147694678324
