,cell_1,cell_2,tension,relative_adhesion,log_tension,log_adhesion
854,cell_332,cell_338,38.34132968830054,2.4458420229690086e-17,3.64652841850543,-38.24955713158668
855,cell_332,cell_347,14.76966336616351,3.600007878531038e-17,2.6925753045546097,-37.863010546958265
856,cell_333,cell_336,79.02216737856457,7.208329059700599e-17,4.369728412834946,-37.16870940962303
857,cell_333,cell_349,121.35197645811438,1.5875881398153376e-17,4.798695219292668,-38.68173060951179
858,cell_333,cell_355,183.342774403846,1.616114640460914e-17,5.211357484980746,-38.66392168243678
859,cell_334,cell_350,90.25261883681998,1.2411444866317271e-16,4.502612614374481,-36.62532756087544
860,cell_335,cell_351,264.63143331815905,9.819322002876963e-17,5.578338040234282,-36.859594503392834
861,cell_336,cell_355,150.39410087648085,2.7037417289150223e-17,5.013259187850762,-38.14930994173436
862,cell_338,cell_344,337.15932124684844,8.645758296306476e-17,5.820555581978745,-36.98687775059505
863,cell_338,cell_347,25.56679148673276,3.772812293931189e-17,3.2412943018339693,-37.81612589097362
864,cell_338,cell_352,4.742168128642384,1.5931157319991948e-16,1.5564944422324032,-36.375669809270974
865,cell_339,cell_343,592.4384151355036,1.5947688570876174e-16,6.3842469269075055,-36.37463267935588
866,cell_339,cell_353,15.13469662208338,7.117368824429637e-17,2.716989897481463,-37.18140847090493
867,cell_339,cell_359,99.5490198535629,5.885378343470499e-17,4.600650184691398,-37.371475552793285
868,cell_340,cell_360,329.3643609563325,1.0725327176169509e-16,5.797164618072111,-36.77133861061344
869,cell_341,cell_345,153.70784514598435,1.0586952835103858e-16,5.0350536911806945,-36.78432420252962
870,cell_341,cell_346,117.9298307458502,1.198054517888823e-16,4.770089792892252,-36.66066248182719
871,cell_341,cell_356,133.24574786949964,2.781996479414786e-17,4.89219515161371,-38.120777752885466
872,cell_341,cell_363,5.8199960696995605,6.38680870995566e-17,1.7612995864337646,-37.289711856673
873,cell_342,cell_349,232.9802647468537,5.94967075963452e-18,5.450953749321117,-39.6631957903815
874,cell_342,cell_354,169.8657189282199,3.044341165293405e-17,5.135008236266312,-38.03066206922513
875,cell_343,cell_348,569.2872631749094,4.28887195425242e-17,6.3443851629242385,-37.68792283026237
876,cell_343,cell_359,514.6257328207149,7.586102105439962e-17,6.243439904078785,-37.11762867800212
877,cell_343,cell_361,526.7053670688219,8.606928688775866e-17,6.266641316429493,-36.991379040524755
878,cell_345,cell_356,88.8658605453592,3.67428132254086e-17,4.487128047902863,-37.842589025850316
879,cell_347,cell_352,22.368579893485048,4.0844188046157795e-17,3.1076572908532714,-37.73676713820078
880,cell_347,cell_356,1.1072794068839458,5.907911828382096e-17,0.10190602195479123,-37.36765414044695
881,cell_348,cell_361,28.887965843731944,9.956093078172611e-18,3.363425101605721,-39.148346940478525
882,cell_349,cell_355,128.3364958693578,1.3586252679022619e-17,4.8546556884538905,-38.83747322481126
883,cell_349,cell_362,117.73399450981552,5.488668811719607e-18,4.768427795927711,-39.74384592286983
884,cell_352,cell_356,21.87945450459031,2.0072097586527293e-17,3.0855480460085456,-38.44720100301672
885,cell_352,cell_370,188.301288756548,1.5475061508390304e-17,5.238043279806164,-38.70730188063602
886,cell_353,cell_359,95.6604090190173,3.324056953985585e-17,4.5608045140010836,-37.94276056988101
887,cell_353,cell_366,79.3091375829306,2.469273311708743e-16,4.373353350034474,-35.93743758633779
888,cell_354,cell_365,84.8619981852501,1.94451908930684e-17,4.44102638634176,-38.47893188925598
889,cell_354,cell_371,92.30958199664036,5.662700992492364e-18,4.525147949735285,-39.71263068835073
890,cell_355,cell_362,77.34460391482482,2.2183079326554182e-17,4.348270812657025,-38.34720186812853
891,cell_355,cell_368,126.25544966340595,8.755253496003982e-18,4.8383072328746,-39.276877754147684
892,cell_356,cell_363,134.75483861827877,1.3263691167252345e-18,4.903457117257812,-41.16408645229543
893,cell_356,cell_364,115.78537212362288,1.1405004044185873e-16,4.751738236983861,-36.70989437056487
894,cell_357,cell_358,267.4506146609916,1.3507545728107073e-16,5.588934931202293,-36.540698108782
895,cell_357,cell_367,267.72281628530465,5.017203468927987e-17,5.589952177694909,-37.531073880323476
896,cell_358,cell_367,1.2765979241170144,6.45580505384609e-17,0.24419866773557944,-37.27896684650754
897,cell_358,cell_369,181.63908369309632,5.628473231151956e-17,5.2020216615853165,-37.416108360044426
898,cell_358,cell_376,176.25937134706257,3.305764221479384e-17,5.171956611042338,-37.94827890241001
899,cell_359,cell_361,132.55223354890057,3.584638477694991e-17,4.886976783207177,-37.867288954974036
900,cell_359,cell_372,55.16964959228853,3.437946237264295e-17,4.010412975846524,-37.90907231185437
901,cell_361,cell_372,97.69350158078184,9.709508007849558e-17,4.581835042822067,-36.87084096848382
902,cell_361,cell_380,95.82301281458118,5.854493722494937e-17,4.562502873400468,-37.37673705684569
903,cell_362,cell_365,38.057643475643815,1.4379201403161392e-17,3.6391019439144427,-38.78074885838814
904,cell_362,cell_368,55.033828166687805,6.695749558702644e-18,4.007948053738224,-39.54505874303255
905,cell_363,cell_364,199.87407116843528,5.0496054719427323e-17,5.297687524081083,-37.52463646503115
906,cell_364,cell_378,132.9942422682674,6.738252635583022e-17,4.890305836068627,-37.23614594246725
907,cell_365,cell_368,23.74567410691489,1.8418265116316968e-17,3.167400371023882,-38.53318883228325
908,cell_365,cell_371,15.908508403026506,8.442976073589133e-18,2.7668540857879047,-39.313196812084975
909,cell_366,cell_369,50.830306874370194,2.7623982310518806e-16,3.92849276870933,-35.825262261177684
910,cell_367,cell_373,166.9074239390684,2.599221986146375e-17,5.117439311039028,-38.18873441674894
911,cell_367,cell_376,176.89540523122548,2.391959810318602e-17,5.1755586270083205,-38.27183354665781
912,cell_368,cell_371,23.71465477963269,6.295780458411224e-18,3.166093202176687,-39.606652033396614
913,cell_368,cell_383,75.53766020315999,5.419257712056807e-18,4.324631342528188,-39.75657282131531
914,cell_369,cell_375,51.46898256229601,1.2796728732513274e-16,3.9409793458822606,-36.594757010408614
915,cell_370,cell_374,58.66768064661834,3.7676812930690435e-17,4.071888989969856,-37.8174868102808
916,cell_371,cell_383,61.82636203370639,8.907097965008278e-18,4.1243298436331735,-39.2596831908499
917,cell_372,cell_379,38.70393090787384,1.493887711446956e-16,3.6559411687243313,-36.439979563692795
918,cell_372,cell_380,6.169315578930327,1.158608805707582e-16,1.8195879045245977,-36.694141507953226
919,cell_373,cell_376,77.2730124368059,5.870804647903323e-17,4.347344767037847,-37.37395487844572
920,cell_373,cell_382,64.67181147948808,7.15460121439029e-17,4.169325426191728,-37.17619090467909
921,cell_374,cell_377,152.38068179725613,6.123386348752826e-17,5.026381875357312,-37.33183131244274
922,cell_375,cell_379,49.78011181216493,7.19787225445027e-18,3.9076155430631774,-39.47274621176076
923,cell_375,cell_384,54.91564116138783,1.9585907921262278e-16,4.005798210695921,-36.16913625686404
924,cell_375,cell_386,44.99436535101896,1.1169020543876343e-16,3.806537267508539,-36.73080265797601
925,cell_376,cell_382,23.713291767118545,3.9667060652983385e-17,3.166035724988077,-37.76601053707058
926,cell_376,cell_384,2.045585795741437,3.0667225533678257e-16,0.7156842011603273,-35.72075206875961
927,cell_376,cell_385,14.838154838194871,1.904407152620858e-16,2.6972018929598796,-36.197190733734
